time;temperature1.71;34.56
2.24;34.50
3.25;34.63
4.26;34.63
5.27;34.63
6.27;34.50
7.28;34.25
8.29;34.06
9.3;33.88
10.31;33.81
11.31;33.75
12.32;33.75
13.33;33.69
14.34;33.63
15.35;33.56
16.35;33.50
17.37;33.38
18.37;33.31
19.38;33.25
20.39;33.19
21.4;33.13
22.4;33.13
23.41;33.06
24.42;33.00
25.43;32.94
26.44;32.81
27.45;32.75
28.45;32.75
29.46;32.69
30.47;32.69
31.48;32.69
32.49;32.63
33.5;32.56
34.51;32.56
35.51;32.50
36.52;32.50
37.53;32.38
38.54;32.31
39.54;32.25
40.55;32.19
41.56;32.13
42.57;32.06
43.58;32.06
44.59;31.94
45.59;31.94
46.6;31.87
47.61;31.81
48.62;31.75
49.63;31.69
50.63;31.62
51.64;31.62
52.65;31.56
53.66;31.50
54.66;31.44
55.68;31.44
56.68;31.44
57.69;31.37
58.7;31.37
59.71;31.31
60.71;31.25
61.72;31.25
62.73;31.25
63.74;31.19
64.74;31.19
65.75;31.12
66.76;31.06
67.77;31.00
68.78;31.00
69.79;30.94
70.8;30.87
71.8;30.87
72.81;30.81
73.82;30.81
74.83;30.75
75.83;30.69
76.84;30.69
77.85;30.62
78.86;30.62
79.87;30.62
80.87;30.56
81.88;30.56
82.89;30.56
83.9;30.50
84.91;30.44
85.92;30.44
86.92;30.37
87.93;30.37
88.94;30.37
89.95;30.37
90.95;30.31
91.96;30.31
92.97;30.25
93.98;30.25
94.99;30.25
95.99;30.25
97.0;30.19
98.01;30.12
99.02;30.12
100.02;30.06
101.03;30.06
102.04;30.00
103.05;30.00
104.06;29.94
105.07;29.94
106.07;29.87
107.08;29.87
108.09;29.81
109.1;29.87
110.11;29.81
111.11;29.81
112.12;29.81
113.13;29.81
114.14;29.75
115.14;29.75
116.15;29.75
117.16;29.69
118.17;29.69
119.18;29.62
120.18;29.62
121.19;29.56
122.2;29.50
123.21;29.50
124.21;29.44
125.22;29.37
126.23;29.37
127.24;29.31
128.24;29.31
129.25;29.25
130.26;29.19
131.27;29.19
132.28;29.12
133.29;29.12
134.3;29.12
135.3;29.06
136.31;29.06
137.32;29.00
138.33;29.00
139.33;29.00
140.34;29.00
141.35;29.00
142.36;28.94
143.37;28.94
144.37;28.94
145.38;28.94
146.39;28.87
147.4;28.87
148.4;28.81
149.41;28.81
150.42;28.75
151.43;28.69
152.43;28.69
153.44;28.62
154.45;28.62
155.46;28.56
156.47;28.50
157.47;28.50
158.48;28.44
159.49;28.44
160.5;28.44
161.5;28.37
162.51;28.37
163.52;28.37
164.53;28.37
165.54;28.37
166.54;28.37
167.55;28.37
168.56;28.31
169.57;28.31
170.57;28.31
171.58;28.31
172.59;28.25
173.6;28.25
174.61;28.25
175.61;28.25
176.62;28.25
177.63;28.25
178.63;28.19
179.64;28.19
180.65;28.19
181.66;28.25
182.67;28.19
183.67;28.19
184.68;28.12
185.69;28.12
186.7;28.06
187.7;28.00
188.71;28.00
189.72;28.00
190.73;27.94
191.74;27.94
192.74;27.94
193.75;27.94
194.76;27.87
195.77;27.87
196.78;27.81
197.78;27.81
198.79;27.81
199.8;27.75
200.81;27.75
201.81;27.75
202.82;27.75
203.83;27.75
204.84;27.69
205.84;27.69
206.85;27.69
207.86;27.69
208.87;27.69
209.88;27.69
210.88;27.69
211.89;27.62
212.9;27.62
213.91;27.56
214.91;27.56
215.92;27.56
216.93;27.50
