time;temperature
412.41;32.06
413.42;32
414.43;32.06
415.44;32.06
416.45;32.06
417.45;32.06
418.46;32.13
419.47;32.13
420.48;32.06
421.49;32.06
422.5;32.13
423.5;32.19
424.51;32.25
425.52;32.25
426.53;32.31
427.53;32.25
428.55;32.25
429.55;32.25
430.56;32.25
431.57;32.19
432.58;32.19
433.58;32.25
434.59;32.25
435.6;32.25
436.61;32.25
437.62;32.31
438.62;32.31
439.63;32.38
440.64;32.38
441.65;32.38
442.65;32.44
443.66;32.44
444.67;32.44
445.68;32.5
446.69;32.5
447.7;32.56
448.71;32.5
449.71;32.56
450.72;32.56
451.73;32.56
452.74;32.56
453.75;32.56
454.76;32.5
455.76;32.5
456.77;32.56
457.78;32.56
458.79;32.63
459.79;32.63
460.81;32.63
461.81;32.63
462.82;32.63
463.83;32.63
464.84;32.63
465.84;32.63
466.85;32.63
467.86;32.63
468.87;32.69
469.88;32.69
470.88;32.69
471.89;32.75
472.9;32.75
473.91;32.81
474.92;32.75
475.93;32.75
476.93;32.75
477.94;32.75
478.95;32.69
479.96;32.69
480.97;32.69
481.97;32.69
482.98;32.69
483.99;32.75
485;32.75
486.01;32.69
487.02;32.69
488.02;32.69
489.03;32.69
490.04;32.63
491.05;32.63
492.06;32.63
493.07;32.69
494.07;32.75
495.08;32.81
496.09;32.81
497.1;32.81
498.11;32.81
499.12;32.81
500.12;32.81
501.13;32.81
502.14;32.81
503.15;32.81
504.16;32.75
505.16;32.75
506.18;32.75
507.18;32.75
508.19;32.69
509.2;32.69
510.21;32.69
511.22;32.69
512.22;32.63
513.23;32.69
514.24;32.69
515.25;32.75
516.26;32.75
517.27;32.69
518.27;32.75
519.28;32.75
520.29;32.75
521.3;32.81
522.31;32.75
523.32;32.75
524.33;32.75
525.33;32.75
526.34;32.75
527.35;32.75
528.36;32.81
529.37;32.81
530.38;32.81
531.38;32.88
532.39;32.88
533.4;32.88
534.41;32.88
535.42;32.81
536.43;32.81
537.43;32.75
538.44;32.75
539.45;32.75
540.46;32.81
541.47;32.81
542.48;32.81
543.49;32.81
544.49;32.81
545.5;32.81
546.51;32.81
547.52;32.81
548.53;32.88
549.54;32.88
550.54;32.88
551.55;32.81
552.56;32.81
553.57;32.88
554.58;32.81
555.58;32.81
556.59;32.75
557.61;32.81
558.61;32.88
559.62;32.81
560.63;32.81
561.63;32.88
562.64;32.88
563.65;32.88
564.66;32.81
565.67;32.81
566.68;32.81
567.69;32.81
568.69;32.88
569.7;32.88
570.71;32.88
571.72;32.94
572.73;32.88
573.74;32.88
574.75;32.88
575.75;32.88
576.76;32.81
577.77;32.88
578.78;32.88
579.78;32.94
580.8;32.94
581.81;32.94
582.81;32.88
583.82;32.94
584.83;32.94
585.84;33
586.84;33
587.86;33.06
588.86;33.06
589.87;33.06
590.88;33.06
591.89;33.06
592.89;33.13
593.9;33.13
594.91;33.13
595.92;33.13
596.93;33.13
597.94;33.06
598.95;33.06
599.95;33.06
600.96;33.06
601.97;33
602.98;33
603.99;33
605;33.06
606.01;33.06
607.01;33.06
608.02;33.06
609.03;33
610.04;33
611.04;33
612.06;33
613.06;33
614.07;32.94
615.08;32.94
616.09;33
617.1;33.06
618.1;33.06
619.12;33.06
620.12;33.13
621.13;33.13
622.14;33.13
623.14;33.13
624.15;33.13
625.16;33.19
626.17;33.13
627.18;33.13
628.19;33.13
629.2;33.13
630.21;33.13
631.21;33.13
632.22;33.13
633.23;33.13
634.24;33.13
635.25;33.13
636.26;33.13
637.27;33.13
638.27;33.13
639.28;33.13
640.29;33.06
641.3;33
642.31;33
643.32;33
644.32;33
645.33;33.06
646.34;33.13
647.35;33.13
648.36;33.13
649.37;33.19
650.37;33.19
651.38;33.25
652.39;33.25
653.4;33.19
654.41;33.13
655.41;33.13
656.42;33.13
657.43;33.13
658.44;33.06
659.45;33.13
660.46;33.13
661.47;33.13
662.47;33.13
663.49;33.13
664.49;33.06
665.5;33.06
666.51;33.06
667.52;33.06
668.52;33.06
669.53;33.06
670.54;33.06
671.55;33.06
672.56;33.06
673.57;33.13
674.58;33.13
675.58;33.06
676.59;33.13
677.6;33.19
678.61;33.19
679.62;33.25
680.63;33.31
681.63;33.38
682.64;33.38
683.65;33.44
684.66;33.44
685.67;33.44
686.68;33.5
687.68;33.56
688.69;33.56
689.7;33.5
690.71;33.56
691.72;33.63
692.72;33.69
693.74;33.69
694.74;33.75
695.75;33.75
696.76;33.75
697.77;33.69
698.78;33.69
699.78;33.69
700.8;33.63
701.8;33.63
702.81;33.63
703.82;33.63
704.83;33.63
705.83;33.69
706.85;33.75
707.86;33.75
708.86;33.81
709.87;33.88
710.88;33.88
711.88;33.88
712.89;33.94
713.91;33.94
714.91;33.94
715.92;33.94
716.93;34
717.94;34
718.95;34
719.96;33.94
720.96;33.94
721.97;33.94
722.98;33.88
723.99;33.88
725;33.81
726;33.81
727.02;33.75
728.02;33.69
729.03;33.69
730.04;33.69
731.05;33.69
732.06;33.63
733.06;33.63
734.07;33.63
735.08;33.69
736.09;33.69
737.1;33.69
738.11;33.75
739.11;33.69
740.12;33.75
741.13;33.81
742.14;33.75
743.15;33.75
744.16;33.69
745.16;33.63
746.17;33.63
747.18;33.69
748.19;33.69
749.2;33.69
750.21;33.69
751.22;33.69
752.22;33.75
753.23;33.75
754.24;33.75
755.25;33.75
756.26;33.75
757.27;33.75
758.28;33.69
759.28;33.69
760.29;33.69
761.3;33.63
762.31;33.63
763.32;33.63
